Period;Group;Series;Average
1994 November;Swedish Government Bonds;SE GVB 5Y;10.5386
1994 December;Swedish Government Bonds;SE GVB 5Y;10.3648
1995 January;Swedish Government Bonds;SE GVB 5Y;10.6276
1995 February;Swedish Government Bonds;SE GVB 5Y;10.2975
1995 March;Swedish Government Bonds;SE GVB 5Y;10.7274
1995 April;Swedish Government Bonds;SE GVB 5Y;10.9106
1995 May;Swedish Government Bonds;SE GVB 5Y;10.3162
1995 June;Swedish Government Bonds;SE GVB 5Y;10.304
1995 July;Swedish Government Bonds;SE GVB 5Y;10.2567
1995 August;Swedish Government Bonds;SE GVB 5Y;9.9178
1995 September;Swedish Government Bonds;SE GVB 5Y;9.4133
1995 October;Swedish Government Bonds;SE GVB 5Y;9.0355
1995 November;Swedish Government Bonds;SE GVB 5Y;8.7059
1995 December;Swedish Government Bonds;SE GVB 5Y;8.3053
1996 January;Swedish Government Bonds;SE GVB 5Y;7.8427
1996 February;Swedish Government Bonds;SE GVB 5Y;8.1376
1996 March;Swedish Government Bonds;SE GVB 5Y;8.1086
1996 April;Swedish Government Bonds;SE GVB 5Y;7.6985
1996 May;Swedish Government Bonds;SE GVB 5Y;7.6965
1996 June;Swedish Government Bonds;SE GVB 5Y;7.5695
1996 July;Swedish Government Bonds;SE GVB 5Y;7.5026
1996 August;Swedish Government Bonds;SE GVB 5Y;7.3395
1996 September;Swedish Government Bonds;SE GVB 5Y;7.0257
1996 October;Swedish Government Bonds;SE GVB 5Y;6.3661
1996 November;Swedish Government Bonds;SE GVB 5Y;6.2695
1996 December;Swedish Government Bonds;SE GVB 5Y;5.7544
1997 January;Swedish Government Bonds;SE GVB 5Y;5.4233
1997 February;Swedish Government Bonds;SE GVB 5Y;5.639
1997 March;Swedish Government Bonds;SE GVB 5Y;6.1968
1997 April;Swedish Government Bonds;SE GVB 5Y;6.30
1997 May;Swedish Government Bonds;SE GVB 5Y;6.1421
1997 June;Swedish Government Bonds;SE GVB 5Y;5.9515
1997 July;Swedish Government Bonds;SE GVB 5Y;5.6717
1997 August;Swedish Government Bonds;SE GVB 5Y;5.8529
1997 September;Swedish Government Bonds;SE GVB 5Y;5.725
1997 October;Swedish Government Bonds;SE GVB 5Y;5.7857
1997 November;Swedish Government Bonds;SE GVB 5Y;5.9125
1997 December;Swedish Government Bonds;SE GVB 5Y;5.7368
1998 January;Swedish Government Bonds;SE GVB 5Y;5.3635
1998 February;Swedish Government Bonds;SE GVB 5Y;5.224
1998 March;Swedish Government Bonds;SE GVB 5Y;5.0886
1998 April;Swedish Government Bonds;SE GVB 5Y;5.024
1998 May;Swedish Government Bonds;SE GVB 5Y;5.0068
1998 June;Swedish Government Bonds;SE GVB 5Y;4.7303
1998 July;Swedish Government Bonds;SE GVB 5Y;4.6443
1998 August;Swedish Government Bonds;SE GVB 5Y;4.6317
1998 September;Swedish Government Bonds;SE GVB 5Y;4.5893
1998 October;Swedish Government Bonds;SE GVB 5Y;4.5256
1998 November;Swedish Government Bonds;SE GVB 5Y;4.1939
1998 December;Swedish Government Bonds;SE GVB 5Y;3.859
1999 January;Swedish Government Bonds;SE GVB 5Y;3.5903
1999 February;Swedish Government Bonds;SE GVB 5Y;3.6726
1999 March;Swedish Government Bonds;SE GVB 5Y;3.8045
1999 April;Swedish Government Bonds;SE GVB 5Y;3.531
1999 May;Swedish Government Bonds;SE GVB 5Y;3.8016
1999 June;Swedish Government Bonds;SE GVB 5Y;4.2826
1999 July;Swedish Government Bonds;SE GVB 5Y;4.8089
1999 August;Swedish Government Bonds;SE GVB 5Y;5.0896
1999 September;Swedish Government Bonds;SE GVB 5Y;5.2877
1999 October;Swedish Government Bonds;SE GVB 5Y;5.5295
1999 November;Swedish Government Bonds;SE GVB 5Y;5.172
1999 December;Swedish Government Bonds;SE GVB 5Y;5.2579
2000 January;Swedish Government Bonds;SE GVB 5Y;5.6793
2000 February;Swedish Government Bonds;SE GVB 5Y;5.7555
2000 March;Swedish Government Bonds;SE GVB 5Y;5.4357
2000 April;Swedish Government Bonds;SE GVB 5Y;5.355
2000 May;Swedish Government Bonds;SE GVB 5Y;5.34
2000 June;Swedish Government Bonds;SE GVB 5Y;5.1637
2000 July;Swedish Government Bonds;SE GVB 5Y;5.319
2000 August;Swedish Government Bonds;SE GVB 5Y;5.2504
2000 September;Swedish Government Bonds;SE GVB 5Y;5.0821
2000 October;Swedish Government Bonds;SE GVB 5Y;5.013
2000 November;Swedish Government Bonds;SE GVB 5Y;4.8998
2000 December;Swedish Government Bonds;SE GVB 5Y;4.6013
2001 January;Swedish Government Bonds;SE GVB 5Y;4.5138
2001 February;Swedish Government Bonds;SE GVB 5Y;4.5073
2001 March;Swedish Government Bonds;SE GVB 5Y;4.3317
2001 April;Swedish Government Bonds;SE GVB 5Y;4.5138
2001 May;Swedish Government Bonds;SE GVB 5Y;4.8181
2001 June;Swedish Government Bonds;SE GVB 5Y;5.0334
2001 July;Swedish Government Bonds;SE GVB 5Y;5.0775
2001 August;Swedish Government Bonds;SE GVB 5Y;4.7741
2001 September;Swedish Government Bonds;SE GVB 5Y;4.7375
2001 October;Swedish Government Bonds;SE GVB 5Y;4.6035
2001 November;Swedish Government Bonds;SE GVB 5Y;4.4911
2001 December;Swedish Government Bonds;SE GVB 5Y;4.8976
2002 January;Swedish Government Bonds;SE GVB 5Y;5.0148
2002 February;Swedish Government Bonds;SE GVB 5Y;5.1785
2002 March;Swedish Government Bonds;SE GVB 5Y;5.4565
2002 April;Swedish Government Bonds;SE GVB 5Y;5.4579
2002 May;Swedish Government Bonds;SE GVB 5Y;5.4505
2002 June;Swedish Government Bonds;SE GVB 5Y;5.265
2002 July;Swedish Government Bonds;SE GVB 5Y;5.0648
2002 August;Swedish Government Bonds;SE GVB 5Y;4.8261
2002 September;Swedish Government Bonds;SE GVB 5Y;4.6231
2002 October;Swedish Government Bonds;SE GVB 5Y;4.6213
2002 November;Swedish Government Bonds;SE GVB 5Y;4.5405
2002 December;Swedish Government Bonds;SE GVB 5Y;4.3876
2003 January;Swedish Government Bonds;SE GVB 5Y;4.2343
2003 February;Swedish Government Bonds;SE GVB 5Y;3.9743
2003 March;Swedish Government Bonds;SE GVB 5Y;4.0326
2003 April;Swedish Government Bonds;SE GVB 5Y;4.1663
2003 May;Swedish Government Bonds;SE GVB 5Y;3.7688
2003 June;Swedish Government Bonds;SE GVB 5Y;3.5308
2003 July;Swedish Government Bonds;SE GVB 5Y;3.853
2003 August;Swedish Government Bonds;SE GVB 5Y;4.1843
2003 September;Swedish Government Bonds;SE GVB 5Y;4.1832
2003 October;Swedish Government Bonds;SE GVB 5Y;4.3133
2003 November;Swedish Government Bonds;SE GVB 5Y;4.4513
2003 December;Swedish Government Bonds;SE GVB 5Y;4.2982
2004 January;Swedish Government Bonds;SE GVB 5Y;4.0038
2004 February;Swedish Government Bonds;SE GVB 5Y;3.8565
2004 March;Swedish Government Bonds;SE GVB 5Y;3.5335
2004 April;Swedish Government Bonds;SE GVB 5Y;3.7548
2004 May;Swedish Government Bonds;SE GVB 5Y;3.97
2004 June;Swedish Government Bonds;SE GVB 5Y;4.0288
2004 July;Swedish Government Bonds;SE GVB 5Y;3.8757
2004 August;Swedish Government Bonds;SE GVB 5Y;3.848
2004 September;Swedish Government Bonds;SE GVB 5Y;3.903
2004 October;Swedish Government Bonds;SE GVB 5Y;3.7495
2004 November;Swedish Government Bonds;SE GVB 5Y;3.6016
2004 December;Swedish Government Bonds;SE GVB 5Y;3.3329
2005 January;Swedish Government Bonds;SE GVB 5Y;3.1558
2005 February;Swedish Government Bonds;SE GVB 5Y;3.0995
2005 March;Swedish Government Bonds;SE GVB 5Y;3.1974
2005 April;Swedish Government Bonds;SE GVB 5Y;2.9698
2005 May;Swedish Government Bonds;SE GVB 5Y;2.7202
2005 June;Swedish Government Bonds;SE GVB 5Y;2.4413
2005 July;Swedish Government Bonds;SE GVB 5Y;2.4024
2005 August;Swedish Government Bonds;SE GVB 5Y;2.565
2005 September;Swedish Government Bonds;SE GVB 5Y;2.4957
2005 October;Swedish Government Bonds;SE GVB 5Y;2.8683
2005 November;Swedish Government Bonds;SE GVB 5Y;3.0839
2005 December;Swedish Government Bonds;SE GVB 5Y;3.1567
2006 January;Swedish Government Bonds;SE GVB 5Y;3.1245
2006 February;Swedish Government Bonds;SE GVB 5Y;3.1683
2006 March;Swedish Government Bonds;SE GVB 5Y;3.30
2006 April;Swedish Government Bonds;SE GVB 5Y;3.5331
2006 May;Swedish Government Bonds;SE GVB 5Y;3.5436
2006 June;Swedish Government Bonds;SE GVB 5Y;3.6695
2006 July;Swedish Government Bonds;SE GVB 5Y;3.7314
2006 August;Swedish Government Bonds;SE GVB 5Y;3.69
2006 September;Swedish Government Bonds;SE GVB 5Y;3.5969
2006 October;Swedish Government Bonds;SE GVB 5Y;3.6373
2006 November;Swedish Government Bonds;SE GVB 5Y;3.5825
2006 December;Swedish Government Bonds;SE GVB 5Y;3.6847
2007 January;Swedish Government Bonds;SE GVB 5Y;3.9061
2007 February;Swedish Government Bonds;SE GVB 5Y;3.9095
2007 March;Swedish Government Bonds;SE GVB 5Y;3.8125
2007 April;Swedish Government Bonds;SE GVB 5Y;4.0726
2007 May;Swedish Government Bonds;SE GVB 5Y;4.201
2007 June;Swedish Government Bonds;SE GVB 5Y;4.4345
2007 July;Swedish Government Bonds;SE GVB 5Y;4.4684
2007 August;Swedish Government Bonds;SE GVB 5Y;4.2435
2007 September;Swedish Government Bonds;SE GVB 5Y;4.1745
2007 October;Swedish Government Bonds;SE GVB 5Y;4.2809
2007 November;Swedish Government Bonds;SE GVB 5Y;4.1275
2007 December;Swedish Government Bonds;SE GVB 5Y;4.1896
2008 January;Swedish Government Bonds;SE GVB 5Y;3.899
2008 February;Swedish Government Bonds;SE GVB 5Y;3.7824
2008 March;Swedish Government Bonds;SE GVB 5Y;3.7603
2008 April;Swedish Government Bonds;SE GVB 5Y;3.9731
2008 May;Swedish Government Bonds;SE GVB 5Y;4.1698
2008 June;Swedish Government Bonds;SE GVB 5Y;4.6096
2008 July;Swedish Government Bonds;SE GVB 5Y;4.6127
2008 August;Swedish Government Bonds;SE GVB 5Y;4.1961
2008 September;Swedish Government Bonds;SE GVB 5Y;3.9418
2008 October;Swedish Government Bonds;SE GVB 5Y;3.3233
2008 November;Swedish Government Bonds;SE GVB 5Y;2.7429
2008 December;Swedish Government Bonds;SE GVB 5Y;2.1081
2009 January;Swedish Government Bonds;SE GVB 5Y;2.2345
2009 February;Swedish Government Bonds;SE GVB 5Y;2.1901
2009 March;Swedish Government Bonds;SE GVB 5Y;2.1715
2009 April;Swedish Government Bonds;SE GVB 5Y;2.3719
2009 May;Swedish Government Bonds;SE GVB 5Y;2.7409
2009 June;Swedish Government Bonds;SE GVB 5Y;2.7577
2009 July;Swedish Government Bonds;SE GVB 5Y;2.5553
2009 August;Swedish Government Bonds;SE GVB 5Y;2.764
2009 September;Swedish Government Bonds;SE GVB 5Y;2.6802
2009 October;Swedish Government Bonds;SE GVB 5Y;2.5797
2009 November;Swedish Government Bonds;SE GVB 5Y;2.517
2009 December;Swedish Government Bonds;SE GVB 5Y;2.6183
2010 January;Swedish Government Bonds;SE GVB 5Y;2.6719
2010 February;Swedish Government Bonds;SE GVB 5Y;2.6152
2010 March;Swedish Government Bonds;SE GVB 5Y;2.5076
2010 April;Swedish Government Bonds;SE GVB 5Y;2.4297
2010 May;Swedish Government Bonds;SE GVB 5Y;2.0715
2010 June;Swedish Government Bonds;SE GVB 5Y;2.039
2010 July;Swedish Government Bonds;SE GVB 5Y;2.1394
2010 August;Swedish Government Bonds;SE GVB 5Y;1.9315
2010 September;Swedish Government Bonds;SE GVB 5Y;2.0349
2010 October;Swedish Government Bonds;SE GVB 5Y;2.1562
2010 November;Swedish Government Bonds;SE GVB 5Y;2.2616
2010 December;Swedish Government Bonds;SE GVB 5Y;2.7149
2011 January;Swedish Government Bonds;SE GVB 5Y;2.9889
2011 February;Swedish Government Bonds;SE GVB 5Y;3.1795
2011 March;Swedish Government Bonds;SE GVB 5Y;3.1736
2011 April;Swedish Government Bonds;SE GVB 5Y;3.1563
2011 May;Swedish Government Bonds;SE GVB 5Y;2.8598
2011 June;Swedish Government Bonds;SE GVB 5Y;2.6241
2011 July;Swedish Government Bonds;SE GVB 5Y;2.4744
2011 August;Swedish Government Bonds;SE GVB 5Y;1.8426
2011 September;Swedish Government Bonds;SE GVB 5Y;1.4757
2011 October;Swedish Government Bonds;SE GVB 5Y;1.554
2011 November;Swedish Government Bonds;SE GVB 5Y;1.2699
2011 December;Swedish Government Bonds;SE GVB 5Y;1.1596
2012 January;Swedish Government Bonds;SE GVB 5Y;1.2942
2012 February;Swedish Government Bonds;SE GVB 5Y;1.435
2012 March;Swedish Government Bonds;SE GVB 5Y;1.5085
2012 April;Swedish Government Bonds;SE GVB 5Y;1.4495
2012 May;Swedish Government Bonds;SE GVB 5Y;1.1452
2012 June;Swedish Government Bonds;SE GVB 5Y;1.084
2012 July;Swedish Government Bonds;SE GVB 5Y;0.9841
2012 August;Swedish Government Bonds;SE GVB 5Y;1.068
2012 September;Swedish Government Bonds;SE GVB 5Y;1.0323
2012 October;Swedish Government Bonds;SE GVB 5Y;1.0014
2012 November;Swedish Government Bonds;SE GVB 5Y;0.9432
2012 December;Swedish Government Bonds;SE GVB 5Y;0.9601
2013 January;Swedish Government Bonds;SE GVB 5Y;1.2129
2013 February;Swedish Government Bonds;SE GVB 5Y;1.3978
2013 March;Swedish Government Bonds;SE GVB 5Y;1.4174
2013 April;Swedish Government Bonds;SE GVB 5Y;1.2723
2013 May;Swedish Government Bonds;SE GVB 5Y;1.3068
2013 June;Swedish Government Bonds;SE GVB 5Y;1.5537
2013 July;Swedish Government Bonds;SE GVB 5Y;1.629
2013 August;Swedish Government Bonds;SE GVB 5Y;1.8051
2013 September;Swedish Government Bonds;SE GVB 5Y;2.0101
2013 October;Swedish Government Bonds;SE GVB 5Y;1.8166
2013 November;Swedish Government Bonds;SE GVB 5Y;1.6377
2013 December;Swedish Government Bonds;SE GVB 5Y;1.6802
2014 January;Swedish Government Bonds;SE GVB 5Y;1.6683
2014 February;Swedish Government Bonds;SE GVB 5Y;1.515
2014 March;Swedish Government Bonds;SE GVB 5Y;1.4474
2014 April;Swedish Government Bonds;SE GVB 5Y;1.3183
2014 May;Swedish Government Bonds;SE GVB 5Y;1.151
2014 June;Swedish Government Bonds;SE GVB 5Y;1.0291
2014 July;Swedish Government Bonds;SE GVB 5Y;0.8116
2014 August;Swedish Government Bonds;SE GVB 5Y;0.7004
2014 September;Swedish Government Bonds;SE GVB 5Y;0.5981
2014 October;Swedish Government Bonds;SE GVB 5Y;0.4036
2014 November;Swedish Government Bonds;SE GVB 5Y;0.2561
2014 December;Swedish Government Bonds;SE GVB 5Y;0.1713
2015 January;Swedish Government Bonds;SE GVB 5Y;0.3143
2015 February;Swedish Government Bonds;SE GVB 5Y;0.1166
2015 March;Swedish Government Bonds;SE GVB 5Y;0.1381
2015 April;Swedish Government Bonds;SE GVB 5Y;-0.0096
2015 May;Swedish Government Bonds;SE GVB 5Y;0.2406
2015 June;Swedish Government Bonds;SE GVB 5Y;0.3966
2015 July;Swedish Government Bonds;SE GVB 5Y;0.162
2015 August;Swedish Government Bonds;SE GVB 5Y;0.048
2015 September;Swedish Government Bonds;SE GVB 5Y;0.0474
2015 October;Swedish Government Bonds;SE GVB 5Y;0.038
2015 November;Swedish Government Bonds;SE GVB 5Y;0.1213
2015 December;Swedish Government Bonds;SE GVB 5Y;0.2245
2016 January;Swedish Government Bonds;SE GVB 5Y;0.0798
2016 February;Swedish Government Bonds;SE GVB 5Y;-0.1154
2016 March;Swedish Government Bonds;SE GVB 5Y;-0.094
2016 April;Swedish Government Bonds;SE GVB 5Y;-0.1038
2016 May;Swedish Government Bonds;SE GVB 5Y;-0.1659
2016 June;Swedish Government Bonds;SE GVB 5Y;-0.3476
2016 July;Swedish Government Bonds;SE GVB 5Y;-0.481
2016 August;Swedish Government Bonds;SE GVB 5Y;-0.5256
2016 September;Swedish Government Bonds;SE GVB 5Y;-0.332
2016 October;Swedish Government Bonds;SE GVB 5Y;-0.3175
1987 January;Swedish Government Bonds;SE GVB 7Y;11.7211
1987 February;Swedish Government Bonds;SE GVB 7Y;11.4115
1987 March;Swedish Government Bonds;SE GVB 7Y;11.0891
1987 April;Swedish Government Bonds;SE GVB 7Y;11.1345
1987 May;Swedish Government Bonds;SE GVB 7Y;11.6974
1987 June;Swedish Government Bonds;SE GVB 7Y;11.745
1987 July;Swedish Government Bonds;SE GVB 7Y;11.65
1987 August;Swedish Government Bonds;SE GVB 7Y;11.8733
1987 September;Swedish Government Bonds;SE GVB 7Y;11.9468
1987 October;Swedish Government Bonds;SE GVB 7Y;11.8995
1987 November;Swedish Government Bonds;SE GVB 7Y;11.4876
1987 December;Swedish Government Bonds;SE GVB 7Y;11.6145
1988 January;Swedish Government Bonds;SE GVB 7Y;11.6011
1988 February;Swedish Government Bonds;SE GVB 7Y;11.2219
1988 March;Swedish Government Bonds;SE GVB 7Y;11.2713
1988 April;Swedish Government Bonds;SE GVB 7Y;11.3063
1988 May;Swedish Government Bonds;SE GVB 7Y;11.4865
1988 June;Swedish Government Bonds;SE GVB 7Y;11.2167
1988 July;Swedish Government Bonds;SE GVB 7Y;11.291
1988 August;Swedish Government Bonds;SE GVB 7Y;11.523
1988 September;Swedish Government Bonds;SE GVB 7Y;11.4295
1988 October;Swedish Government Bonds;SE GVB 7Y;11.3295
1988 November;Swedish Government Bonds;SE GVB 7Y;11.0777
1988 December;Swedish Government Bonds;SE GVB 7Y;10.9895
1989 January;Swedish Government Bonds;SE GVB 7Y;10.5505
1989 February;Swedish Government Bonds;SE GVB 7Y;10.595
1989 March;Swedish Government Bonds;SE GVB 7Y;11.0214
1989 April;Swedish Government Bonds;SE GVB 7Y;11.1385
1989 May;Swedish Government Bonds;SE GVB 7Y;11.1255
1989 June;Swedish Government Bonds;SE GVB 7Y;11.1743
1989 July;Swedish Government Bonds;SE GVB 7Y;11.2481
1989 August;Swedish Government Bonds;SE GVB 7Y;11.1183
1989 September;Swedish Government Bonds;SE GVB 7Y;11.0857
1989 October;Swedish Government Bonds;SE GVB 7Y;11.3073
1989 November;Swedish Government Bonds;SE GVB 7Y;12.2082
1989 December;Swedish Government Bonds;SE GVB 7Y;12.8558
1990 January;Swedish Government Bonds;SE GVB 7Y;13.076
1990 February;Swedish Government Bonds;SE GVB 7Y;14.0838
1990 March;Swedish Government Bonds;SE GVB 7Y;14.125
1990 April;Swedish Government Bonds;SE GVB 7Y;13.8942
1990 May;Swedish Government Bonds;SE GVB 7Y;13.4767
1990 June;Swedish Government Bonds;SE GVB 7Y;13.0705
1990 July;Swedish Government Bonds;SE GVB 7Y;12.9836
1990 August;Swedish Government Bonds;SE GVB 7Y;13.4657
1990 September;Swedish Government Bonds;SE GVB 7Y;13.6215
1990 October;Swedish Government Bonds;SE GVB 7Y;13.5835
1990 November;Swedish Government Bonds;SE GVB 7Y;13.0964
1990 December;Swedish Government Bonds;SE GVB 7Y;12.5553
1991 January;Swedish Government Bonds;SE GVB 7Y;12.0845
1991 February;Swedish Government Bonds;SE GVB 7Y;11.2995
1991 March;Swedish Government Bonds;SE GVB 7Y;11.448
1991 April;Swedish Government Bonds;SE GVB 7Y;11.4824
1991 May;Swedish Government Bonds;SE GVB 7Y;10.9215
1991 June;Swedish Government Bonds;SE GVB 7Y;10.6895
1991 July;Swedish Government Bonds;SE GVB 7Y;10.7348
1991 August;Swedish Government Bonds;SE GVB 7Y;10.7005
1991 September;Swedish Government Bonds;SE GVB 7Y;10.2886
1991 October;Swedish Government Bonds;SE GVB 7Y;10.1683
1991 November;Swedish Government Bonds;SE GVB 7Y;10.0838
1991 December;Swedish Government Bonds;SE GVB 7Y;10.3939
1992 January;Swedish Government Bonds;SE GVB 7Y;9.6529
1992 February;Swedish Government Bonds;SE GVB 7Y;9.581
1992 March;Swedish Government Bonds;SE GVB 7Y;9.4986
1992 April;Swedish Government Bonds;SE GVB 7Y;9.6625
1992 May;Swedish Government Bonds;SE GVB 7Y;9.6842
1992 June;Swedish Government Bonds;SE GVB 7Y;9.821
1992 July;Swedish Government Bonds;SE GVB 7Y;10.0357
1992 August;Swedish Government Bonds;SE GVB 7Y;10.8367
1992 September;Swedish Government Bonds;SE GVB 7Y;11.5591
1992 October;Swedish Government Bonds;SE GVB 7Y;11.3082
1992 November;Swedish Government Bonds;SE GVB 7Y;10.7162
1992 December;Swedish Government Bonds;SE GVB 7Y;9.688
1993 January;Swedish Government Bonds;SE GVB 7Y;9.8037
1993 February;Swedish Government Bonds;SE GVB 7Y;9.2765
1993 March;Swedish Government Bonds;SE GVB 7Y;8.9178
1993 April;Swedish Government Bonds;SE GVB 7Y;8.9095
1993 May;Swedish Government Bonds;SE GVB 7Y;8.5432
1993 June;Swedish Government Bonds;SE GVB 7Y;8.1081
1993 July;Swedish Government Bonds;SE GVB 7Y;7.7018
1993 August;Swedish Government Bonds;SE GVB 7Y;7.0809
1993 September;Swedish Government Bonds;SE GVB 7Y;7.2809
1993 October;Swedish Government Bonds;SE GVB 7Y;7.0724
1993 November;Swedish Government Bonds;SE GVB 7Y;6.9223
1993 December;Swedish Government Bonds;SE GVB 7Y;6.6938
1994 January;Swedish Government Bonds;SE GVB 7Y;6.6195
1994 February;Swedish Government Bonds;SE GVB 7Y;6.7435
1994 March;Swedish Government Bonds;SE GVB 7Y;7.4352
1994 April;Swedish Government Bonds;SE GVB 7Y;8.2147
1994 May;Swedish Government Bonds;SE GVB 7Y;8.52
1994 June;Swedish Government Bonds;SE GVB 7Y;9.6076
1994 July;Swedish Government Bonds;SE GVB 7Y;10.5124
1994 August;Swedish Government Bonds;SE GVB 7Y;11.1104
1994 September;Swedish Government Bonds;SE GVB 7Y;11.1159
1994 October;Swedish Government Bonds;SE GVB 7Y;10.8143
1994 November;Swedish Government Bonds;SE GVB 7Y;10.7745
1994 December;Swedish Government Bonds;SE GVB 7Y;10.5843
1995 January;Swedish Government Bonds;SE GVB 7Y;10.6995
1995 February;Swedish Government Bonds;SE GVB 7Y;10.402
1995 March;Swedish Government Bonds;SE GVB 7Y;10.8535
1995 April;Swedish Government Bonds;SE GVB 7Y;11.0556
1995 May;Swedish Government Bonds;SE GVB 7Y;10.4457
1995 June;Swedish Government Bonds;SE GVB 7Y;10.3835
1995 July;Swedish Government Bonds;SE GVB 7Y;10.3286
1995 August;Swedish Government Bonds;SE GVB 7Y;9.993
1995 September;Swedish Government Bonds;SE GVB 7Y;9.471
1995 October;Swedish Government Bonds;SE GVB 7Y;9.1132
1995 November;Swedish Government Bonds;SE GVB 7Y;8.7709
1995 December;Swedish Government Bonds;SE GVB 7Y;8.3583
1996 January;Swedish Government Bonds;SE GVB 7Y;8.0536
1996 February;Swedish Government Bonds;SE GVB 7Y;8.4619
1996 March;Swedish Government Bonds;SE GVB 7Y;8.461
1996 April;Swedish Government Bonds;SE GVB 7Y;8.051
1996 May;Swedish Government Bonds;SE GVB 7Y;8.106
1996 June;Swedish Government Bonds;SE GVB 7Y;8.0226
1996 July;Swedish Government Bonds;SE GVB 7Y;7.9478
1996 August;Swedish Government Bonds;SE GVB 7Y;7.7923
1996 September;Swedish Government Bonds;SE GVB 7Y;7.4695
1996 October;Swedish Government Bonds;SE GVB 7Y;6.8335
1996 November;Swedish Government Bonds;SE GVB 7Y;6.759
1996 December;Swedish Government Bonds;SE GVB 7Y;6.2778
1997 January;Swedish Government Bonds;SE GVB 7Y;6.001
1997 February;Swedish Government Bonds;SE GVB 7Y;5.9865
1997 March;Swedish Government Bonds;SE GVB 7Y;6.4137
